DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2023-04-06 00:00:00,98.33,98.3,98.36,20260600,20260900,20260300
2023-04-10 00:00:00,98.33,98.3,98.36,20260600,20260900,20260300
2023-04-11 00:00:00,98.2,98.17,98.23,20260600,20260900,20260300
2023-04-12 00:00:00,98.11,98.08,98.14,20260600,20260900,20260300
2023-04-13 00:00:00,98.13,98.1,98.16,20260600,20260900,20260300
2023-04-14 00:00:00,98.085,98.055,98.115,20260600,20260900,20260300
2023-04-17 00:00:00,98.045,98.015,98.075,20260600,20260900,20260300
2023-04-18 00:00:00,98.07,98.04,98.1,20260600,20260900,20260300
2023-04-19 00:00:00,98.025,97.995,98.055,20260600,20260900,20260300
2023-04-20 00:00:00,98.1,98.07,98.13,20260600,20260900,20260300
2023-04-21 00:00:00,98.1,98.07,98.13,20260600,20260900,20260300
2023-04-24 00:00:00,98.08,98.05,98.11,20260600,20260900,20260300
2023-04-25 00:00:00,98.15,98.12,98.18,20260600,20260900,20260300
2023-04-26 00:00:00,98.185,98.155,98.215,20260600,20260900,20260300
2023-04-27 00:00:00,98.235,98.205,98.265,20260600,20260900,20260300
2023-04-28 00:00:00,98.275,98.245,98.305,20260600,20260900,20260300
2023-05-01 00:00:00,98.275,98.245,98.305,20260600,20260900,20260300
2023-05-02 00:00:00,98.295,98.265,98.325,20260600,20260900,20260300
2023-05-03 00:00:00,98.255,98.225,98.285,20260600,20260900,20260300
2023-05-04 00:00:00,98.365,98.335,98.395,20260600,20260900,20260300
2023-05-05 00:00:00,98.345,98.315,98.375,20260600,20260900,20260300
2023-05-08 00:00:00,98.345,98.315,98.375,20260600,20260900,20260300
2023-05-09 00:00:00,98.345,98.315,98.375,20260600,20260900,20260300
2023-05-10 00:00:00,98.375,98.345,98.405,20260600,20260900,20260300
2023-05-11 00:00:00,98.43,98.4,98.46,20260600,20260900,20260300
2023-05-12 00:00:00,98.395,98.365,98.425,20260600,20260900,20260300
2023-05-15 00:00:00,98.37,98.34,98.4,20260600,20260900,20260300
2023-05-16 00:00:00,98.345,98.315,98.375,20260600,20260900,20260300
2023-05-17 00:00:00,98.34,98.31,98.37,20260600,20260900,20260300
2023-05-18 00:00:00,98.34,98.31,98.37,20260600,20260900,20260300
2023-05-19 00:00:00,98.29,98.26,98.32,20260600,20260900,20260300
2023-05-22 00:00:00,98.265,98.235,98.295,20260600,20260900,20260300
2023-05-23 00:00:00,98.225,98.195,98.255,20260600,20260900,20260300
2023-05-24 00:00:00,98.2,98.17,98.23,20260600,20260900,20260300
2023-05-25 00:00:00,98.14,98.11,98.17,20260600,20260900,20260300
2023-05-26 00:00:00,98.105,98.075,98.135,20260600,20260900,20260300
2023-05-29 00:00:00,98.105,98.075,98.135,20260600,20260900,20260300
2023-05-30 00:00:00,98.24,98.21,98.27,20260600,20260900,20260300
2023-05-31 00:00:00,98.32,98.29,98.35,20260600,20260900,20260300
2023-06-01 00:00:00,98.285,98.255,98.315,20260600,20260900,20260300
2023-06-02 00:00:00,98.235,98.205,98.265,20260600,20260900,20260300
2023-06-05 00:00:00,98.18,98.15,98.21,20260600,20260900,20260300
2023-06-06 00:00:00,98.18,98.15,98.21,20260600,20260900,20260300
2023-06-07 00:00:00,98.15,98.12,98.18,20260600,20260900,20260300
2023-06-08 00:00:00,98.115,98.085,98.145,20260600,20260900,20260300
2023-06-09 00:00:00,98.12,98.09,98.15,20260600,20260900,20260300
2023-06-12 00:00:00,98.12,98.09,98.15,20260600,20260900,20260300
2023-06-13 00:00:00,98.045,98.015,98.075,20260900,20261200,20260600
2023-06-14 00:00:00,98.005,97.975,98.035,20260900,20261200,20260600
2023-06-15 00:00:00,97.92,97.89,97.95,20260900,20261200,20260600
2023-06-16 00:00:00,97.935,97.905,97.965,20260900,20261200,20260600
2023-06-19 00:00:00,97.92,97.89,97.95,20260900,20261200,20260600
2023-06-20 00:00:00,98.005,97.975,98.035,20260900,20261200,20260600
2023-06-21 00:00:00,98.025,97.995,98.055,20260900,20261200,20260600
2023-06-22 00:00:00,98.07,98.04,98.1,20260900,20261200,20260600
2023-06-23 00:00:00,98.155,98.125,98.185,20260900,20261200,20260600
2023-06-26 00:00:00,98.165,98.135,98.195,20260900,20261200,20260600
2023-06-27 00:00:00,98.085,98.055,98.115,20260900,20261200,20260600
2023-06-28 00:00:00,98.11,98.08,98.14,20260900,20261200,20260600
2023-06-29 00:00:00,98.075,98.045,98.105,20260900,20261200,20260600
2023-06-30 00:00:00,98.085,98.055,98.115,20260900,20261200,20260600
2023-07-03 00:00:00,98.1,98.07,98.13,20260900,20261200,20260600
2023-07-04 00:00:00,98.115,98.085,98.145,20260900,20261200,20260600
2023-07-05 00:00:00,98.095,98.065,98.125,20260900,20261200,20260600
2023-07-06 00:00:00,97.975,97.945,98.005,20260900,20261200,20260600
2023-07-07 00:00:00,97.99,97.96,98.02,20260900,20261200,20260600
2023-07-10 00:00:00,97.965,97.935,97.995,20260900,20261200,20260600
2023-07-11 00:00:00,97.95,97.92,97.98,20260900,20261200,20260600
2023-07-12 00:00:00,98.015,97.985,98.045,20260900,20261200,20260600
2023-07-13 00:00:00,98.1,98.07,98.13,20260900,20261200,20260600
2023-07-14 00:00:00,98.085,98.055,98.115,20260900,20261200,20260600
2023-07-17 00:00:00,98.12,98.09,98.15,20260900,20261200,20260600
2023-07-18 00:00:00,98.21,98.18,98.24,20260900,20261200,20260600
2023-07-19 00:00:00,98.195,98.165,98.225,20260900,20261200,20260600
2023-07-20 00:00:00,98.115,98.085,98.145,20260900,20261200,20260600
2023-07-21 00:00:00,98.105,98.075,98.135,20260900,20261200,20260600
2023-07-24 00:00:00,98.165,98.135,98.195,20260900,20261200,20260600
2023-07-25 00:00:00,98.11,98.08,98.14,20260900,20261200,20260600
2023-07-26 00:00:00,98.06,98.03,98.09,20260900,20261200,20260600
2023-07-27 00:00:00,98.075,98.045,98.105,20260900,20261200,20260600
2023-07-28 00:00:00,98.105,98.075,98.135,20260900,20261200,20260600
2023-07-31 00:00:00,98.13,98.1,98.16,20260900,20261200,20260600
2023-08-01 00:00:00,98.13,98.1,98.16,20260900,20261200,20260600
2023-08-02 00:00:00,98.175,98.145,98.205,20260900,20261200,20260600
2023-08-03 00:00:00,98.175,98.145,98.205,20260900,20261200,20260600
2023-08-04 00:00:00,98.155,98.125,98.185,20260900,20261200,20260600
2023-08-07 00:00:00,98.17,98.14,98.2,20260900,20261200,20260600
2023-08-08 00:00:00,98.21,98.18,98.24,20260900,20261200,20260600
2023-08-09 00:00:00,98.19,98.16,98.22,20260900,20261200,20260600
2023-08-10 00:00:00,98.17,98.14,98.2,20260900,20261200,20260600
2023-08-11 00:00:00,98.12,98.09,98.15,20260900,20261200,20260600
2023-08-14 00:00:00,98.1,98.07,98.13,20260900,20261200,20260600
2023-08-15 00:00:00,98.1,98.07,98.13,20260900,20261200,20260600
2023-08-16 00:00:00,98.125,98.095,98.155,20260900,20261200,20260600
2023-08-17 00:00:00,98.07,98.04,98.1,20260900,20261200,20260600
2023-08-18 00:00:00,98.08,98.05,98.11,20260900,20261200,20260600
2023-08-21 00:00:00,98.075,98.045,98.105,20260900,20261200,20260600
2023-08-22 00:00:00,98.09,98.06,98.12,20260900,20261200,20260600
2023-08-23 00:00:00,98.155,98.125,98.185,20260900,20261200,20260600
2023-08-24 00:00:00,98.155,98.125,98.185,20260900,20261200,20260600
2023-08-25 00:00:00,98.135,98.105,98.165,20260900,20261200,20260600
2023-08-28 00:00:00,98.195,98.165,98.225,20260900,20261200,20260600
2023-08-29 00:00:00,98.205,98.175,98.235,20260900,20261200,20260600
2023-08-30 00:00:00,98.19,98.16,98.22,20260900,20261200,20260600
2023-08-31 00:00:00,98.265,98.235,98.295,20260900,20261200,20260600
2023-09-01 00:00:00,98.275,98.245,98.305,20260900,20261200,20260600
2023-09-04 00:00:00,98.28,98.25,98.31,20260900,20261200,20260600
2023-09-05 00:00:00,98.29,98.26,98.32,20260900,20261200,20260600
2023-09-06 00:00:00,98.25,98.22,98.28,20260900,20261200,20260600
2023-09-07 00:00:00,98.26,98.23,98.29,20260900,20261200,20260600
2023-09-08 00:00:00,98.265,98.235,98.295,20260900,20261200,20260600
2023-09-11 00:00:00,98.26,98.23,98.29,20260900,20261200,20260600
2023-09-12 00:00:00,98.23,98.2,98.26,20261200,20270300,20260900
2023-09-13 00:00:00,98.215,98.185,98.245,20261200,20270300,20260900
2023-09-14 00:00:00,98.255,98.225,98.285,20261200,20270300,20260900
2023-09-15 00:00:00,98.24,98.21,98.27,20261200,20270300,20260900
2023-09-18 00:00:00,98.225,98.195,98.255,20261200,20270300,20260900
2023-09-19 00:00:00,98.24,98.21,98.27,20261200,20270300,20260900
2023-09-20 00:00:00,98.3,98.27,98.33,20261200,20270300,20260900
2023-09-21 00:00:00,98.33,98.3,98.36,20261200,20270300,20260900
2023-09-22 00:00:00,98.345,98.315,98.375,20261200,20270300,20260900
2023-09-25 00:00:00,98.375,98.345,98.405,20261200,20270300,20260900
2023-09-26 00:00:00,98.38,98.35,98.41,20261200,20270300,20260900
2023-09-27 00:00:00,98.385,98.355,98.415,20261200,20270300,20260900
2023-09-28 00:00:00,98.32,98.29,98.35,20261200,20270300,20260900
2023-09-29 00:00:00,98.385,98.355,98.415,20261200,20270300,20260900
2023-10-02 00:00:00,98.4,98.37,98.43,20261200,20270300,20260900
2023-10-03 00:00:00,98.4,98.37,98.43,20261200,20270300,20260900
2023-10-04 00:00:00,98.385,98.355,98.415,20261200,20270300,20260900
2023-10-05 00:00:00,98.4,98.37,98.43,20261200,20270300,20260900
2023-10-06 00:00:00,98.385,98.355,98.415,20261200,20270300,20260900
2023-10-09 00:00:00,98.48,98.45,98.51,20261200,20270300,20260900
2023-10-10 00:00:00,98.455,98.425,98.485,20261200,20270300,20260900
2023-10-11 00:00:00,98.45,98.42,98.48,20261200,20270300,20260900
2023-10-12 00:00:00,98.49,98.46,98.52,20261200,20270300,20260900
2023-10-13 00:00:00,98.51,98.48,98.54,20261200,20270300,20260900
2023-10-16 00:00:00,98.53,98.5,98.56,20261200,20270300,20260900
2023-10-17 00:00:00,98.47,98.44,98.5,20261200,20270300,20260900
2023-10-18 00:00:00,98.45,98.42,98.48,20261200,20270300,20260900
2023-10-19 00:00:00,98.46,98.43,98.49,20261200,20270300,20260900
2023-10-20 00:00:00,98.53,98.5,98.56,20261200,20270300,20260900
2023-10-23 00:00:00,98.545,98.515,98.575,20261200,20270300,20260900
2023-10-24 00:00:00,98.595,98.565,98.625,20261200,20270300,20260900
2023-10-25 00:00:00,98.595,98.565,98.625,20261200,20270300,20260900
2023-10-26 00:00:00,98.685,98.655,98.715,20261200,20270300,20260900
2023-10-27 00:00:00,98.71,98.68,98.74,20261200,20270300,20260900
2023-10-30 00:00:00,98.76,98.73,98.79,20261200,20270300,20260900
2023-10-31 00:00:00,98.77,98.74,98.8,20261200,20270300,20260900
2023-11-01 00:00:00,98.85,98.82,98.88,20261200,20270300,20260900
2023-11-02 00:00:00,98.83,98.8,98.86,20261200,20270300,20260900
2023-11-03 00:00:00,98.87,98.84,98.9,20261200,20270300,20260900
2023-11-06 00:00:00,98.86,98.83,98.89,20261200,20270300,20260900
2023-11-07 00:00:00,98.885,98.855,98.915,20261200,20270300,20260900
2023-11-08 00:00:00,98.88,98.85,98.91,20261200,20270300,20260900
2023-11-09 00:00:00,98.88,98.85,98.91,20261200,20270300,20260900
2023-11-10 00:00:00,98.87,98.84,98.9,20261200,20270300,20260900
2023-11-13 00:00:00,98.86,98.83,98.89,20261200,20270300,20260900
2023-11-14 00:00:00,98.95,98.92,98.98,20261200,20270300,20260900
2023-11-15 00:00:00,98.895,98.865,98.925,20261200,20270300,20260900
2023-11-16 00:00:00,98.925,98.895,98.955,20261200,20270300,20260900
2023-11-17 00:00:00,98.92,98.89,98.95,20261200,20270300,20260900
2023-11-20 00:00:00,98.865,98.835,98.895,20261200,20270300,20260900
2023-11-21 00:00:00,98.885,98.855,98.915,20261200,20270300,20260900
2023-11-22 00:00:00,98.875,98.845,98.905,20261200,20270300,20260900
2023-11-23 00:00:00,98.84,98.81,98.87,20261200,20270300,20260900
2023-11-24 00:00:00,98.775,98.745,98.805,20261200,20270300,20260900
2023-11-27 00:00:00,98.865,98.835,98.895,20261200,20270300,20260900
2023-11-28 00:00:00,98.895,98.865,98.925,20261200,20270300,20260900
2023-11-29 00:00:00,98.94,98.91,98.97,20261200,20270300,20260900
2023-11-30 00:00:00,98.96,98.93,98.99,20261200,20270300,20260900
